T25,Land,,,,,
704,Viet Nam,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),28.42,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
704,Viet Nam,2010,Land area (thousand hectares),"31,329",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Arable land (thousand hectares),"6,437",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Permanent crops (thousand hectares),"3,681",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Forest cover (thousand hectares),"13,388",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Arable land (% of total land area),20.5,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Permanent crops (% of total land area),11.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Forest cover (% of total land area),42.7,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),31.13,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
704,Viet Nam,2019,Land area (thousand hectares),"31,343",Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Arable land (thousand hectares),"6,784",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Permanent crops (thousand hectares),"4,962",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Forest cover (thousand hectares),"14,567",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Arable land (% of total land area),21.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Permanent crops (% of total land area),15.8,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Forest cover (% of total land area),46.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
704,Viet Nam,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),39.99,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
704,Viet Nam,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),39.99,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
876,Wallis and Futuna Islands,2005,Land area (thousand hectares),14,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Arable land (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Forest cover (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Arable land (% of total land area),7.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Permanent crops (% of total land area),35.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Forest cover (% of total land area),41.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
876,Wallis and Futuna Islands,2010,Land area (thousand hectares),14,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Arable land (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Forest cover (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Arable land (% of total land area),7.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Permanent crops (% of total land area),35.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Forest cover (% of total land area),41.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
876,Wallis and Futuna Islands,2019,Land area (thousand hectares),14,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Arable land (thousand hectares),1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Permanent crops (thousand hectares),5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Forest cover (thousand hectares),6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Arable land (% of total land area),7.1,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Permanent crops (% of total land area),35.7,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Forest cover (% of total land area),41.6,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
876,Wallis and Futuna Islands,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
876,Wallis and Futuna Islands,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),0.00,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2022."
732,Western Sahara,2005,Land area (thousand hectares),"26,600",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2005,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2005,Forest cover (thousand hectares),667,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2005,Arable land (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2005,Forest cover (% of total land area),2.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2010,Land area (thousand hectares),"26,600",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2010,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2010,Forest cover (thousand hectares),665,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2010,Arable land (% of total land area),0.0,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2010,Forest cover (% of total land area),2.5,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2019,Land area (thousand hectares),"26,600",,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
732,Western Sahara,2019,Arable land (thousand hectares),4,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2022."
